Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,2842472.40,2272258.72,19550500.00,13911,0,12472,0,8498,0,3349,0,268,0.5667588126245485,47316
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,63118964.12,10926854.26,99135750.00,145444,0,157454,0,99089,0,35510,0,2617,0.7875650130613775,412728
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,31206855.13,17476980.35,185923250.00,262264,0,55715,0,514152,0,62073,0,5251,0.7764795779970005,793452
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,8899069.76,11146661.43,1544791700.00,155646,23836,0,65746,163404,8406,79343,2403,3273,0.9209086905523718,915552
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,20850814.17,14181207.80,1517803200.00,166822,0,55748,0,159256,0,77395,0,3100,0.9211033562881538,849984
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,9114176.25,8527190.00,1534569200.00,136857,19991,0,55372,142605,6836,72608,2179,3026,0.9198820768936968,814392
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,10145524.76,8371480.00,1605266000.00,143721,21239,0,61743,149909,7121,72045,2227,3006,0.9221721344556087,809376
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,10379137.23,7363800.00,1708849800.00,137669,21090,0,57744,143015,6975,71879,2173,3024,0.9247969828090205,819960
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,5795561.64,2890965.00,1741920400.00,67254,86975,0,52255,31182,117418,69719,2090,2960,0.9172895300158688,798264
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,128441708.42,0.00,0,125456,0,57749,0,112128,0,44173,1126,1.1244710690714763,451152
